매물번호,매물명,지역,매물종류,거래유형,가격(만원),면적(㎡),방개수,입주가능,lat,lon
101,햇살이 가득한 아늑한 주택,마포구,주택,매매,65,72,2,협의 필요,37.5568,126.9237
102,서향 노을이 아름다운 오피스텔,영등포구,오피스텔,월세,85,32,1,즉시 입주,37.5214,126.9078
103,초록 정원이 있는 포근한 단독주택,서대문구,단독주택,월세,120,18,3,즉시 입주,37.5771,126.9365
104,큰 창으로 하늘이 보이는 원룸,마포구,원룸,매매,55,72,,협의 필요,37.5482,126.9146
105,조용한 골목의 감성적인 빌라,서대문구,빌라,월세,75,,2,즉시 입주,37.5689,126.9452
106,나무 향이 느껴지는 따뜻한 주택,강남구,주택,월세,110,28,3,즉시 입주,,
107,아침 햇살이 좋은 깔끔한 투룸,성동구,투룸,전세,80,35,2,협의 필요,37.5529,127.0415
108,도심 속 휴식 같은 작은 오피스텔,송파구,오피스텔,매매,95,84,1,협의 필요,37.5098,127.1054
109,테라스에서 바람을 즐기는 주택,서대문구,주택,월세,130,,2,즉시 입주,37.5836,126.9279
110,화이트톤으로 꾸며진 밝은 원룸,성동구,원룸,전세,60,35,1,협의 필요,37.5441,127.0568
111,책 읽기 좋은 조용한 복층 오피스텔,성동구,오피스텔,전세,105,35,2,협의 필요,37.5615,127.0361
112,반려식물과 함께하기 좋은 빌라,강남구,빌라,월세,90,28,2,즉시 입주,37.5172,127.0284
113,노을이 머무는 감성적인 투룸,송파구,투룸,매매,,84,2,협의 필요,37.4986,127.1167
114,넓은 거실이 있는 편안한 주택,마포구,주택,월세,140,20,3,즉시 입주,37.5624,126.9321
115,작은 정원이 매력적인 전원주택,강남구,전원주택,월세,160,28,4,즉시 입주,37.4918,127.0476
116,카페처럼 꾸며진 아늑한 오피스텔,영등포구,오피스텔,월세,98,32,1,즉시 입주,37.5267,126.8954
117,창가에서 계절을 느끼는 원룸,양천구,원룸,전세,58,59,,즉시 입주,37.5228,126.8551
118,우드톤 인테리어의 따뜻한 빌라,송파구,빌라,매매,92,,2,협의 필요,37.5143,127.1126
119,햇빛 좋은 베란다가 있는 투룸,서대문구,투룸,월세,78,18,2,즉시 입주,,
120,도심 전망을 한눈에 보는 오피스텔,양천구,오피스텔,전세,150,59,1,즉시 입주,37.5336,126.8645
121,조용한 휴식이 가능한 작은 주택,강남구,주택,월세,72,28,3,즉시 입주,37.5061,127.0642
122,아기자기한 소품이 어울리는 원룸,마포구,원룸,월세,,20,1,즉시 입주,37.5521,126.9368
123,바람이 잘 통하는 쾌적한 빌라,양천구,빌라,전세,82,59,2,즉시 입주,37.5164,126.8467
124,포근한 침실이 있는 감성 주택,마포구,주택,월세,,20,3,즉시 입주,37.5669,126.9043
125,밤하늘을 감상하기 좋은 복층 원룸,양천구,원룸,전세,108,59,1,즉시 입주,37.5287,126.8732
126,넓은 창과 높은 천장의 오피스텔,마포구,오피스텔,월세,125,,2,즉시 입주,,
127,산뜻한 분위기의 깨끗한 투룸,영등포구,투룸,월세,86,32,2,즉시 입주,37.5183,126.9125
128,여유로운 주말을 보내기 좋은 주택,영등포구,주택,월세,135,32,3,즉시 입주,37.5331,126.8897
129,창밖 풍경이 아름다운 감성 빌라,송파구,빌라,매매,,84,2,협의 필요,37.5067,127.1251
130,따뜻한 조명이 매력적인 원룸,마포구,원룸,매매,68,72,1,협의 필요,,
131,옥상 테라스를 이용할 수 있는 주택,성동구,주택,전세,145,35,,협의 필요,,
132,조용한 골목 끝에 자리한 아늑한 집,마포구,집,매매,76,72,2,협의 필요,37.5537,126.9272
